# Runtime projection
field,value
stationAName,Chunghwa Telecom Yangmingshan Earth Station
stationAId,cht-yangmingshan
stationBName,SANSA Space Operations Hartebeesthoek
stationBId,sansa-hartebeesthoek
timeWindowStartUtc,2026-06-15T00:00:00.000Z
timeWindowEndUtc,2026-06-15T06:00:00.000Z
timeWindowDurationMs,21600000
sharedSupportedOrbits,LEO/MEO/GEO
sourceTier,geometric-derived
sourceEvidenceKind,cross-family-geometric
sourceBadgeLabel,Geometric pair · visibility-derived only
precisionLabel,modeled-precision

# Communication stats
metric,value
totalCommunicatingMs,21600000
handoverCount,5
meanLinkDwellMs,3600000
leoCommunicatingMs,0
meoCommunicatingMs,5160000
geoCommunicatingMs,16440000

# Visibility windows
satelliteId,orbitClass,intersectionStartUtc,intersectionEndUtc,durationMs
TJS-15,GEO,2026-06-15T00:00:00.000Z,2026-06-15T06:00:00.000Z,21600000
SES-8,GEO,2026-06-15T00:00:00.000Z,2026-06-15T06:00:00.000Z,21600000
SES-12,GEO,2026-06-15T00:00:00.000Z,2026-06-15T06:00:00.000Z,21600000
THURAYA-3,GEO,2026-06-15T00:09:11.255Z,2026-06-15T06:00:00.000Z,21048745
TDRS 7,GEO,2026-06-15T00:00:00.000Z,2026-06-15T04:26:27.157Z,15987157
BEIDOU-2 IGSO-6,GEO,2026-06-15T00:57:41.545Z,2026-06-15T04:28:44.161Z,12662616
UFO 11 (USA 174),GEO,2026-06-15T03:09:58.679Z,2026-06-15T06:00:00.000Z,10201321
SHIYAN-29,GEO,2026-06-15T00:00:00.000Z,2026-06-15T02:27:35.645Z,8855645
MUOS-4,GEO,2026-06-15T04:16:22.816Z,2026-06-15T06:00:00.000Z,6217184
SBIRS GEO-5 (USA 315),GEO,2026-06-15T00:00:00.000Z,2026-06-15T01:39:46.426Z,5986426
BEIDOU-3S IGSO-2S,GEO,2026-06-15T05:16:50.904Z,2026-06-15T06:00:00.000Z,2589096
BEIDOU-2 IGSO-4,GEO,2026-06-15T00:00:00.000Z,2026-06-15T00:23:14.367Z,1394367

# Link selection events
handoverAtUtc,fromSatelliteId,toSatelliteId,reasonKind
2026-06-15T00:00:00.000Z,,ELEKTRO-L 3,current-link-unavailable
2026-06-15T00:49:30.000Z,ELEKTRO-L 3,GSAT0102 (GALILEO-FM2),cross-orbit-migration
2026-06-15T01:30:00.000Z,GSAT0102 (GALILEO-FM2),ELEKTRO-L 3,cross-orbit-migration
2026-06-15T03:08:30.000Z,ELEKTRO-L 3,GSAT0232 (GALILEO 32),cross-orbit-migration
2026-06-15T03:47:00.000Z,GSAT0232 (GALILEO 32),UFO 11 (USA 174),cross-orbit-migration
2026-06-15T05:53:00.000Z,UFO 11 (USA 174),GSAT0209 (GALILEO 12),cross-orbit-migration

# Non-claims
nonClaim
Pair derivable from public station coordinates and satellite ephemerides only. No operator or contractual attestation.
"Per-orbit communication metrics are modeled-precision via 3GPP TR 38.811 + ITU-R P.618-14 / P.676-13 plus assumed Tier-B antenna pattern parameters (ITU-R S.1528 / S.465-6), and handover decisions use the demo-balanced-v1 policy (TR 38.821 §7.3.2.2 + V-MO1 verbal addendum), not measured service telemetry."
"Assumed antenna parameters are model inputs only; real station RF hardware, EIRP, dish size, and polarization remain source gaps."
"Satellite candidates are limited to orbit classes disclosed by both selected stations (LEO/MEO/GEO), ranked by TLE/SGP4 pair-visibility geometry, then capped at LEO 200, MEO 100, GEO 60 records for interactive compute."
TLE snapshot artifacts are attributed to CelesTrak public GP data; the browser reads bundled files only.
"SATCAT constellation membership in this TLE snapshot: 600 ONEWEB, 33 GALILEO, 6 INTELSAT."

# Pair source attribution
field,value
sourceTier,geometric-derived
evidenceKind,cross-family-geometric
badgeLabel,Geometric pair · visibility-derived only
nonClaims,"[""Pair derivable from public station coordinates and satellite ephemerides only. No operator or contractual attestation.""]"

# Orbit source manifest
sourceId,sourcePath,orbitClass,format,apiClass,sourcePolicy,catalogNumberCompatibility,recordCount,acceptedRecordCount,rejectedRecordCount,parserFailureCount,capApplied,excludedReasonCategories,epochStartUtc,epochEndUtc,sourceTimestampUtc,healthThresholdDays,health,sgp4ErrorCount,noradIdRangeSummary,cosparDesignatorCount,cosparDesignatorSamples,classificationCounts,dragTermFieldCoverage
